longitude,latitude,observed age,observed std,predicted age,method
235.22701589153246,619.8394804320997,49.0,4.0,49.686211854589715,AFT
207.75399622172134,475.39648043209996,53.0,4.0,14.650575539184999,AFT
258.0107220447685,566.9079108642002,28.0,2.0,18.845243350454126,AFT
262.8964448402401,566.2289054321003,23.0,2.0,19.853152813687224,AFT
258.91911716929377,567.3400054321,18.0,1.0,17.80305903267877,AFT
190.0769843508493,602.4322467283997,32.0,3.0,29.84588638780871,AFT
652.9200726108375,800.0845912963002,82.6,9.6,63.284634614353216,AFT
646.3893977987092,796.8130195679004,85.7,8.8,79.77347533754279,AFT
652.9691793498146,800.2080467283998,64.5,7.1,64.54901617540074,AFT
640.128792373945,796.5043804321001,81.7,16.0,99.72442838073351,AFT
653.0182772502864,800.1154554320999,62.4,6.9,64.72842558142591,AFT
644.7199012510712,795.9179662963,76.0,8.0,71.85161001489887,AFT
640.6443689406761,788.3254499999998,89.9,10.8,100.10198341188617,AFT
647.1995971222935,798.2636217284,79.7,14.2,75.93203484700078,AFT
95.62772001211601,109.81371629630036,34.5,4.2,20.746819553396275,AFT
95.60317548113349,109.25816629630008,42.0,3.4,20.361840110622378,AFT
95.55406874215635,108.91866413580017,47.9,3.8,20.349536124736986,AFT
96.536123975148,110.64704129630039,20.9,2.1,9.919161697487434,AFT
95.43131073321952,110.0914912963001,33.1,3.6,20.60372844629441,AFT
96.92895137144892,111.60382172840004,17.1,1.6,8.69433498342858,AFT
97.07625391136827,112.4680108641998,10.5,1.2,8.656207298373593,AFT
95.03849217542401,110.4309945679001,28.3,2.5,20.071950614204884,AFT
95.13669681487289,112.03591629629992,23.5,2.8,9.223285061814824,AFT
95.28400819329892,113.57911086420036,10.4,1.5,8.612014608076445,AFT
95.33310609377065,110.0914912963001,31.5,2.8,20.540386373745775,AFT
97.17445855081715,113.23960870369967,10.3,1.2,8.823997906403301,AFT
97.12536065034668,114.0729337036997,9.7,1.3,22.459785936218218,AFT
426.409220055583,601.9060019908997,41.0,2.0,31.858522080310703,AFT
408.64630674552484,629.2009923716,49.0,4.0,80.75829569849661,AFT
423.30211400202853,602.8841799867997,46.0,3.0,31.045243490991115,AFT
421.24849598643544,604.0708736752998,39.0,3.0,32.14736316311046,AFT
404.36389152669966,622.0611337708998,65.0,13.0,59.69681915720567,AFT
424.14223166820295,601.4886083871003,31.0,2.0,29.605865765984454,AFT
435.54382477836197,598.8011119290003,32.0,2.0,31.987670858348245,AFT
452.1081394600106,596.1593183472003,15.0,1.0,17.467121047762177,AFT
409.10368175067225,625.3459175894002,45.0,4.0,44.74098908343973,AFT
403.7479006940352,620.0060932104001,58.0,5.0,99.36181371173055,AFT
473.69402477335854,590.6406768674997,38.0,2.0,39.120380230945216,AFT
400.35224393720637,616.1493140007998,71.0,6.0,90.072331369783,AFT
405.2196356713684,623.0398773167001,74.0,5.0,48.11979473025326,AFT
493.5015850154841,590.6298380869997,35.0,2.0,36.31867066034458,AFT
421.0884748364752,603.0667603831997,42.0,4.0,31.857433655734226,AFT
404.6294621145422,621.3126001452001,69.0,8.0,99.35425029350293,AFT
200.02030352821444,499.8715445679004,120.6,7.4,77.39843953784965,AFT
254.6471755800021,436.2302054321001,50.5,3.1,18.871389370606266,AFT
256.9304533338213,467.8965554320997,104.6,6.6,91.50330424156178,AFT
203.99763119916074,516.6614999999998,94.9,3.5,100.65895717474488,AFT
158.47932563166583,434.2240532716001,39.9,1.9,53.194052819424456,AFT
221.23271777326013,473.88415000000003,113.9,6.7,18.93478072283481,AFT
221.23271777326013,473.76069456789963,102.7,5.1,18.965868033165684,AFT
263.0437562186661,449.9954999999997,42.3,1.9,40.13305544933782,AFT
219.9805931529056,510.2109467283999,108.9,4.7,93.07078403822497,AFT
241.83134197362043,461.4460032715998,70.5,3.0,61.1485029992535,AFT
197.36875174758353,488.66795327160037,61.5,2.4,60.167427230927075,AFT
214.06369954695725,476.3223967283999,138.7,6.6,13.837511104484468,AFT
243.59904316070728,465.76694672840006,48.9,2.1,46.354657618164026,AFT
207.4348200953801,469.1002467284002,74.6,3.8,15.009674346119672,AFT
219.9069418829447,477.7729999999997,82.1,5.3,19.171626768135418,AFT
158.1110516048541,107.37546956789973,29.0,2.0,26.634254475351195,AFT
126.8890293879266,107.35695086419986,37.0,4.0,35.12711291855187,AFT
126.63615089460748,108.5699020678999,42.0,3.0,39.867753533420306,AFT
127.13454540580149,106.85078370369996,39.0,3.0,35.98913416997766,AFT
126.9234023375099,107.12238543209972,36.0,3.0,35.093250114274866,AFT
126.46920035599327,111.46184870369987,32.0,2.0,30.784294963348813,AFT
126.37590108733875,110.1809970678997,38.0,3.0,32.40422150352745,AFT
126.28997313263508,111.60999500000001,38.0,3.0,27.61340846823296,AFT
126.93567902225386,107.75818129630002,41.0,3.0,35.32803244353972,AFT
528.376004909654,645.8034930116004,58.0,2.0,53.63104521316878,AFT
447.33419724910385,399.42064908689974,21.0,1.0,20.555092157957468,AFT
463.4922146514056,413.5684887182,23.0,1.0,19.132477691479085,AFT
552.2206234458384,655.1561872614999,62.0,4.0,72.13041791543176,AFT
554.5269697001487,655.0158964422,56.0,4.0,58.10757566523168,AFT
456.90379788000024,406.668577718,21.0,1.0,19.911476158825156,AFT
464.7692019889563,415.9970477656996,18.0,1.0,17.521460302757703,AFT
465.8169891905912,419.3311710908,18.0,2.0,17.772310972189477,AFT
538.7545497962923,656.8396715376001,92.0,4.0,90.09079826107842,AFT
255.31006352516047,599.1915391358003,120.0,8.0,105.12859402349144,AFT
