sample,latitude,longitude,elevation,age,std,method,reference
YQ-01,40.595,116.2483333,834,89.9,10.8,AFT,"Li et al., (2010)"
YQ-05,40.68444444,116.3225,468,79.7,14.2,AFT,"Li et al., (2010)"
HS07-03,34.48833333,110.0819444,1655,34.5,4.2,AFT,Liu et al. (2013)
HS07-02,34.48333333,110.0816667,1850,42,3.4,AFT,Liu et al. (2013)
HS07-01,34.48027778,110.0811111,2037,47.9,3.8,AFT,Liu et al. (2013)
HS08-01,34.49583333,110.0922222,820,20.9,2.1,AFT,Liu et al. (2013)
HS07-04,34.49083333,110.0797222,1480,33.1,3.6,AFT,Liu et al. (2013)
HS08-02,34.50444444,110.0966667,710,17.1,1.6,AFT,Liu et al. (2013)
HS08-03,34.51222222,110.0983333,600,10.5,1.2,AFT,Liu et al. (2013)
HS07-06,34.49388889,110.0752778,1050,28.3,2.5,AFT,Liu et al. (2013)
HS07-07,34.50833333,110.0763889,830,23.5,2.8,AFT,Liu et al. (2013)
HS07-08,34.52222222,110.0780556,470,10.4,1.5,AFT,Liu et al. (2013)
HS07-05,34.49083333,110.0786111,1320,31.5,2.8,AFT,Liu et al. (2013)
HS08-04,34.51916667,110.0994444,500,10.3,1.2,AFT,Liu et al. (2013)
HS08-05,34.52666667,110.0988889,445,9.7,1.3,AFT,Liu et al. (2013)
FP9,38.91720819,113.8244491,892,41,2,AFT,Qing et al. (2008)
BT13,39.16286556,113.6234772,1463,49,4,AFT,Qing et al. (2008)
FP5,38.92601188,113.7892949,1345,46,3,AFT,Qing et al. (2008)
FP1,38.93669223,113.76606,1792,39,3,AFT,Qing et al. (2008)
BT6,39.09860619,113.5750254,2370,65,13,AFT,Qing et al. (2008)
FP7,38.91345161,113.7988001,1108,31,2,AFT,Qing et al. (2008)
FP11,38.8892639,113.9277992,670,32,2,AFT,Qing et al. (2008)
FP14,38.86548752,114.11521,316,15,1,AFT,Qing et al. (2008)
BT11,39.12816954,113.628652,1528,45,4,AFT,Qing et al. (2008)
BT1,39.08011064,113.568056,3058,58,5,AFT,Qing et al. (2008)
FP15,38.81581925,114.3594355,209,38,2,AFT,Qing et al. (2008)
ZT1,39.04539928,113.5296371,2890,71,6,AFT,Qing et al. (2008)
BT8,39.10741497,113.5847074,2020,74,5,AFT,Qing et al. (2008)
FP17,38.8157217,114.5835408,230,35,2,AFT,Qing et al. (2008)
FP3,38.92765512,113.7642495,1571,42,4,AFT,Qing et al. (2008)
BT4,39.09186932,113.5780301,2726,69,8,AFT,Qing et al. (2008)
F57,37.99888889,111.2630556,1487,120.6,7.4,AFT,Ren et al. (2015)
F70,37.42611111,111.8811111,881,50.5,3.1,AFT,Ren et al. (2015)
F71,37.71111111,111.9069444,1339,104.6,6.6,AFT,Ren et al. (2015)
F61,38.15,111.3080556,1446,94.9,3.5,AFT,Ren et al. (2015)
F73,37.40805556,110.7930556,749,39.9,1.9,AFT,Ren et al. (2015)
F63,37.765,111.5030556,1545,113.9,6.7,AFT,Ren et al. (2015)
F62,37.76388889,111.5030556,1542,102.7,5.1,AFT,Ren et al. (2015)
F74,37.55,111.9761111,790,42.3,1.9,AFT,Ren et al. (2015)
F54,38.09194444,111.4888889,1584,108.9,4.7,AFT,Ren et al. (2015)
F65,37.65305556,111.7361111,1153,70.5,3,AFT,Ren et al. (2015)
F80,37.89805556,111.2330556,1250,61.5,2.4,AFT,Ren et al. (2015)
F68,37.78694444,111.4219444,1965,138.7,6.6,AFT,Ren et al. (2015)
F64,37.69194444,111.7561111,1198,48.9,2.1,AFT,Ren et al. (2015)
F69,37.72194444,111.3469444,1259,74.6,3.8,AFT,Ren et al. (2015)
F67,37.8,111.4880556,1660,82.1,5.3,AFT,Ren et al. (2015)
NN-1,34.46638889,110.7888889,1280,29,2,AFT,Wang et al. (2019)
FT03,34.46622222,110.4356389,1470,37,4,AFT,Yu et al. (2013)
FT05,34.47713889,110.4327778,1087,42,3,AFT,Yu et al. (2013)
FT01,34.46166667,110.4384167,1843,39,3,AFT,Yu et al. (2013)
FT02,34.46411111,110.4360278,1685,36,3,AFT,Yu et al. (2013)
FT07,34.50316667,110.4308889,686,32,2,AFT,Yu et al. (2013)
FT06,34.49163889,110.4298333,886,38,3,AFT,Yu et al. (2013)
FT08,34.5045,110.4288611,632,38,3,AFT,Yu et al. (2013)
FT04,34.46983333,110.4361667,1285,41,3,AFT,Yu et al. (2013)
Y2k-34,39.31228956,114.9781145,1150,58,2,AFT,Zhang et al. (2002)
Y2k-30,37.09482179,114.061197,412,21,1,AFT,Zhang et al. (2002)
Y2k-18,37.22215362,114.2440109,268,23,1,AFT,Zhang et al. (2002)
Y2k-6,39.39646465,115.2478956,733,62,4,AFT,Zhang et al. (2002)
Y2k-7,39.39520202,115.2739899,660,56,4,AFT,Zhang et al. (2002)
Y2k-23,37.1600538,114.1694687,328,21,1,AFT,Zhang et al. (2002)
Y2k-19,37.24401087,114.2584589,436,18,1,AFT,Zhang et al. (2002)
Y2k-21,37.27401828,114.2703137,423,18,2,AFT,Zhang et al. (2002)
Y2k-3,39.41161616,115.0955387,265,92,4,AFT,Zhang et al. (2002)
NW11,38.89277778,111.8886111,1554,120,8,AFT,Zhao et al. (2016)
NW10,38.9025,111.9230556,2108,126,9,AFT,Zhao et al. (2016)
NW03,38.73194444,112.2075,1610,70,5,AFT,Zhao et al. (2016)
LF03,38.01055556,111.3619444,1323,111,7,AFT,Zhao et al. (2016)
NW01,38.855,112.1841667,1759,70,5,AFT,Zhao et al. (2016)
LF06,37.95361111,112.0711111,1042,42,3,AFT,Zhao et al. (2016)
NW05,38.675,112.3419444,1725,94,7,AFT,Zhao et al. (2016)
NW07,38.67472222,112.3538889,1745,111,8,AFT,Zhao et al. (2016)
LF05,37.94555556,111.7833333,1629,110,7,AFT,Zhao et al. (2016)
NW09,38.85944444,112.0797222,1713,49,4,AFT,Zhao et al. (2016)
NW02,38.75694444,112.2058333,1575,75,5,AFT,Zhao et al. (2016)
LF01,38.02111111,111.6716667,1300,120,14,AFT,Zhao et al. (2016)
HS-1-390,34.5189,109.9585,390,41.3,6.8,AFT,Christopher Clinkscales etal.(2021)
HS-1-1840,34.4418,109.9716,1840,46.3,4.5,AFT,Christopher Clinkscales etal.(2021)
HS-2-590,34.4993,110.5506,590,33,1.8,AFT,Christopher Clinkscales etal.(2021)
HS-2-964,34.4586,110.5371,964,35.8,4.4,AFT,Christopher Clinkscales etal.(2021)
HS-2-1150,34.4624,110.515,1150,36.3,3.2,AFT,Christopher Clinkscales etal.(2021)
HS-2-1592,34.4584,110.5079,1592,42.4,3.1,AFT,Christopher Clinkscales etal.(2021)
HS-2-1810,34.4553,110.5052,1810,46,3.2,AFT,Christopher Clinkscales etal.(2021)
HS-2-2100,34.45,110.5085,2100,46.8,3.2,AFT,Christopher Clinkscales etal.(2021)
TS-2-1042,36.60415,111.92437,1042,40.1,6.3,AFT,Christopher Clinkscales etal.(2021)
TS-2-1245,36.605,111.9516,1245,39.9,2.7,AFT,Christopher Clinkscales etal.(2021)
TS-2-1456,36.6132,111.9857,1456,42.4,2.1,AFT,Christopher Clinkscales etal.(2021)
TS-2-847,36.6052,111.8741,847,43.1,2.4,AFT,Christopher Clinkscales etal.(2021)
ZT-1-1022,34.8321,110.504,1022,82.1,4,AFT,Christopher Clinkscales etal.(2021)
ZT-1-1240,34.8299,110.5037,1240,94.9,4.5,AFT,Christopher Clinkscales etal.(2021)
ZT-1-1560,34.816,110.5097,1560,94.4,4.5,AFT,Christopher Clinkscales etal.(2021)
ZT-1-476,34.8532,110.5066,476,45.1,2.6,AFT,Christopher Clinkscales etal.(2021)
ZT-1-750,34.8424,110.5037,750,64,3.8,AFT,Christopher Clinkscales etal.(2021)
ZT-3-528,35.2152,111.3155,528,72,3.5,AFT,Christopher Clinkscales etal.(2021)
ZT-3-806,35.1944,111.3566,806,72.3,5,AFT,Christopher Clinkscales etal.(2021)
ZT-3-1090,35.1925,111.382,1090,85.7,5.4,AFT,Christopher Clinkscales etal.(2021)
ZT-3-1346,35.1917,111.3915,1346,95.7,6.9,AFT,Christopher Clinkscales etal.(2021)
LS16-1-1,37.570697,111.039908,1127,51.2,5.1,AFT,Zhang et al. (2021)
LS16-1-2,37.570697,111.039908,1127,52.2,7.6,AFT,Zhang et al. (2021)
LS16-1-3-1,37.538975,111.022614,1338,54.2,3.9,AFT,Zhang et al. (2021)
LS16-1-3-2,37.538975,111.022614,1338,71.5,6.5,AFT,Zhang et al. (2021)
LS16-4,37.525231,111.050753,1208,42.7,2.6,AFT,Zhang et al. (2021)
LS16-1-5-1,37.552164,111.058306,1082,58.4,3.7,AFT,Zhang et al. (2021)
LS16-1-5-2,37.552164,111.058306,1082,57.9,3.4,AFT,Zhang et al. (2021)
HS17-1,36.436239,111.867614,2041,33.1,2.9,AFT,Zhang et al. (2021)
HS17-2,36.440967,111.87265,1969,38.5,1.3,AFT,Zhang et al. (2021)
HS17-4,36.409853,111.850058,1564,32.7,2.6,AFT,Zhang et al. (2021)
HS17-5,36.412122,111.835408,1474,24.6,1.7,AFT,Zhang et al. (2021)
HS17-6,36.410481,111.83345,1385,36.6,2.9,AFT,Zhang et al. (2021)
HS17-7,36.412558,111.829114,1282,38.6,2.8,AFT,Zhang et al. (2021)
HS17-8,36.416194,111.819917,1194,34.5,2.4,AFT,Zhang et al. (2021)
DT-4,40.10575,113.181917,1139,100.2,15.9,AFT,Wang et al. (2025)
DT-5,40.105606,113.181992,1137,90.9,4.3,AFT,Wang et al. (2025)
DT-12,39.645703,113.022464,1091,254.8,17.8,AFT,Wang et al. (2025)
DT-16,39.395541,113.264721,1239,84.6,5.1,AFT,Wang et al. (2025)
DT-21,39.908111,113.898917,1202,229.8,17.4,AFT,Wang et al. (2025)
LLS12,37.22705,111.22745,1276,84.3,7.7,ZFT,Li and Song (2010)
LLS15,38.33893333,111.8416833,1257,85.4,6.1,ZFT,Li and Song (2010)
LLS17,38.32623333,112.2691833,1471,81.9,6,ZFT,Li and Song (2010)
LLS18,38.376,112.4715,965,81.9,6.7,ZFT,Li and Song (2010)
LLS8,36.63847222,110.9857,1128,66.4,8.8,ZFT,Li and Song (2010)
LLS16,38.33833333,112.2250167,1404,73.9,10.6,ZFT,Li and Song (2010)
LLS9,36.62998333,110.9873333,1098,69.9,7.4,ZFT,Li and Song (2010)
LLS7,36.49155,110.9043333,826,93.7,13.3,ZFT,Li and Song (2010)
LLS6,36.36271667,111.1956667,1058,60,6.1,ZFT,Li and Song (2010)
LLS14,37.85308333,111.2293167,1146,84.3,6.8,ZFT,Li and Song (2010)
BT11,39.12817,113.62865,1528,120,8,ZFT,Qing et al. (2008)
FP14,38.86549,114.11521,316,106,9,ZFT,Qing et al. (2008)
